RANK,GAME,NOTES,
176,System Shock 2,
175,Superhot VR,
174,Streets of Rage 2,
173,Star Wars (Arcade),
172,Spacewar!,
171,Red Faction: Guerilla,
170,Planescape Torment,
169,Phantasy Star IV: The End of the Millennium,
168,Monster Hunter 4,*Listed as Monster Hunter 4 Ultimate
167,Homeworld 2,
166,Giants: Citizen Kabuto,
165,Galaga,
164,FS1 Flight Simulator,
163,Dragon Quest VIII: Journey of the Cursed King,
162,Defender,
161,DEFCON,
160,Crusader Kings 2,
159,Sid Meier's Civilization IV,
158,Castlevania: Aria of Sorrow,
157,Brothers: A Tale of Two Sons,
156,80 Days,
155,Assassin's Creed II,
154,Pac-Man: Championship Edition,*Listed as Pac-Man: Championship Edition DX
153,Geometry Wars Retro Evolved,
152,The Walking Dead,
151,Metroid Prime,
150,SoulCalibur II,
149,Animal Crossing: New Leaf,
148,Super Mario 3D World,
147,Wolfenstein 3D,
146,Mortal Kombat II,
145,Team Fortress 2,
144,The Legend of Zelda: Link's Awakening,
143,Unreal Tournament,
142,No One Lives Forever,
141,Super Smash Bros.,
140,EverQuest,
139,Oregon Trail,
138,Resident Evil,
137,Phantasy Star Online,
136,Kirby's Adventure,
135,Hearthstone,
134,Street Fighter III,*Listed as Street Fighter III: Third Strike
133,Kirby: Canvas Curse,
132,Vampire The Masquerade - Redemption,
131,Her Story,
130,Undertale,
129,Rock Band,
128,Dune II: The Building of a Dynasty,
127,Cart Life,
126,Uncharted 2: Among Thieves,
125,Mike Tyson's Punch Out!!,
124,Rock Band 2,
123,Diablo,
122,Quake,
121,Frog Fractions,
120,Device 6,
119,The Legend of Zelda: The Wind Waker,
118,Mario Kart 8,
117,Gunstar Heroes,
116,Call of Duty 2,
115,BioShock,
114,Herzog Zwei,
113,Prince of Persia: Sands of Time,
112,Railroad Tycoon,
111,Hitman: Blood Money,
110,Counter-Strike,
109,Kentucky Route Zero,
108,Super Mario Maker,
107,"Papers, Please",
106,Final Fantasy Tactics,
105,Grand Theft Auto: Vice City,
104,Burnout Paradise,
103,Elite,
102,Tony Hawk's Pro Skater 2,
101,Metal Gear Solid 2: Sons of Liberty,
100,Warlords,
99,The Sentinel,
98,Suikoden II,
97,Manic Miner,
96,Homeworld,
95,Grand Theft Auto IV,
94,Guitar Hero II,
